INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('FP2AUZ', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('JPRUC2', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('YA4GE5', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('I1SLCO', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('X4LKQO', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('TX228X', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('5Z7ULE', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('CH1NBL', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('SQEG30', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('EHS14Y', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IJS6PP', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('D8RFGS', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('KQC9BI', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('84J1SS', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('QTCNEJ', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('3HOW5H', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ADA0G3', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('T1Y7Z0', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('195Q7F', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('5OUEGV', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('6WUEC5', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('WJJZSQ', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('SB1PX7', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('6BKSYD', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('1VW5TU', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('J6DS0M', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('UZJFPV', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IQ9SEJ', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('0IZG59', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('1UPYJF', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('D4HY1U', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('0EEZKE', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('T3I48N', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('1KZ65N', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('QFBR1R', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('T42SHP', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('UVR6K0', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('Q870BC', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('635XLU', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ZBGIKV', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('MGL46C', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4DHBFB', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('66YBSE', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('J50PVL', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('QG9870', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('7UCR4L', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('GDF3IV', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('R3H5D7', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('G3S7BZ', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('CI3GKZ', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('B1LDB8', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('FR167J', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('GN1ND7', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('WDIPQR', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ZIX3XR', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('XN4HYB', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('192XB8', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('0U92UD', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('EBQKKB', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('2USW7I', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('RB505A', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4UWA4P', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('U3HKVR', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('545Z1W', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('RKIVTW', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('G6AAZ0', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('OFYNUP', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('7Z0MR1', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4PDTJL', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('MV8777', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4EWRET', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('QZ5V2K', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ZUU0A2', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('OFTN66', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('2KO8V7', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('OOEOQE', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('3J30RC', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('Y5C931', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('MZF2HT', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('H1W1G8', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('HOSZ6M', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('CZ5ESN', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('HRXZ6W', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('UFZ8UR', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('9N5WYU', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('97WM1H', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('LJC0UM', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('8DZTYZ', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('923IL0', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('Y9GHUG', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('36NWN6', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('Z28EHH', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('KUJCOK', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('BJ05PO', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('565SOD', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('EEE2NW', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('5LZ0WJ', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('9ZNY6S', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('Y0ONSD', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('0LCY9N', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('S324F5', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('7LD07S', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IKX6PK', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4WD788', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('W8VUMS', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('WG8IJT', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('1ZVSNG', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('1R5FLP', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('TORUM6', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('0QUF0F', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('LRVX5A', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IQV2S5', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('XJZIYE', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('8JCBS0', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('8MOHQS', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('IAJYRR', 'SZTE-VILLAMOS', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('G6PG40', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('ICSORU', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('I1NZ9F', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('WW56Z4', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('25KD8G', 'SZTE-GAZDINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('XCO5OL', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('VU4EHX', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('MEPFTY', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('4WOKJI', 'SZTE-PROGTERV', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('3DHWEA', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('35ZUDS', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('PVLXXR', 'SZTE-UZEM', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('CEYRAH', 'SZTE-MERNOKINF', 0);
INSERT INTO felvette (hallgatoAzonosito, kepzesId, teljesitette) VALUES ('GRBJJE', 'SZTE-UZEM', 0);
